,City,Purchase Power,Health Care,Pollution,QoL_H,Crime Rating,Unesco,lat,lng,Country
89,Geneva,64.16286416286417,71.94196725675496,31.843756762605498,90.76204065280074,58.123997862105824,27.27272727272727,46.2043907,6.143157700000001,Switzerland
90,Lausanne,98.73639873639874,59.92280047916944,94.80631897857606,85.3210652653805,32.99037947621593,54.54545454545454,46.5196535,6.6322734,Switzerland
91,Basel,83.99438399438401,78.41075469186744,64.03375892663925,93.90128404386726,23.062533404596476,27.27272727272727,47.5595986,7.5885761,Switzerland
92,Kiev,14.625014625014627,20.830560362039133,72.88465700064921,20.54575058392247,57.896846606092986,9.090909090909092,50.4501,30.5234,Ukraine
93,Kharkiv,12.554112554112553,18.940503127911626,72.54923176801557,24.368676746183183,57.30892570817744,0.0,49.9935,36.230383,Ukraine
94,Tehran,13.7007137007137,30.813257021163317,94.80631897857606,17.530695189807542,57.856761090326025,9.090909090909092,35.6891975,51.3889736,Iran
95,Brussels,56.195156195156194,80.55370690802609,7.34689461155594,74.37733523740287,57.3623730625334,100.0,50.8503396,4.3517103,Belgium
96,Paris,47.61904761904761,83.18913882603488,64.03375892663925,63.21879983356959,57.30892570817744,45.45454545454545,48.856614,2.3522218999999995,France
97,Lyon,58.113958113958105,90.27019832290698,40.26184808483012,73.7646065792396,48.65045430251203,9.090909090909092,45.764043,4.835659,France
98,Nice,50.473850473850476,89.33847996805538,64.04457909543389,72.17504413621316,48.65045430251203,0.0,43.710172799999995,7.2619532000000016,France
99,Toulouse,56.26535626535626,80.10115799281247,39.20147154295607,71.21788825654133,48.65045430251203,27.27272727272727,43.604652,1.444209,France
100,Strasbourg,77.04457704457705,29.25595634233995,43.183293659381086,71.12673055371545,48.65045430251203,36.36363636363637,48.5734053,7.752111299999998,France
101,Marseille,59.28395928395928,75.46918674297885,27.688811945466345,67.34938324286767,48.65045430251203,27.27272727272727,43.296482,5.36978,France
102,Hanoi,6.832806832806834,0.0,25.990045444708937,19.70334034104181,54.716729021913416,18.181818181818183,21.0277644,105.8341598,Vietnam
103,Christchurch,47.64244764244764,83.89458272327965,24.020774724085694,85.23191314913132,54.03527525387493,0.0,-43.5319957,172.6396575,New Zealand
104,Auckland,49.88884988884989,67.90895780646878,32.49296689028348,79.75105626672476,52.80598610368787,0.0,-36.84830480000001,174.76248859999998,New Zealand
105,Hamilton,58.66385866385867,87.63476640489819,88.37913871456395,89.92083748823796,33.16408337787279,0.0,37.942609600000004,-96.19513200000002,New Zealand
106,Wellington,49.994149994149986,70.39797684014376,33.055615667604414,87.07215927492895,22.07375734901122,0.0,-41.2768778,174.7731458,New Zealand
107,Montevideo,17.760617760617762,51.763609743111935,34.32157541657649,55.17443732317034,52.51202565473009,0.0,-34.901112700000006,-56.16453139999999,Uruguay
108,London,54.74435474435474,64.82097697324637,62.70287816489938,68.53609693847675,52.48530197755211,54.54545454545454,51.5073509,-0.12775830000000002,Canada
109,Victoria,54.44015444015443,78.26434180753361,74.58342350140663,87.32597843346306,42.21004810261893,9.090909090909092,-37.471307700000004,144.7851531,Canada
110,Regina,63.67146367146367,52.45574337814456,90.96515905648127,86.81891371149406,41.020844468198824,0.0,50.4452112,-104.6188943,Canada
111,Hamilton,58.66385866385867,87.63476640489819,88.37913871456395,89.58213157840382,33.16408337787279,0.0,37.942609600000004,-96.19513200000002,Canada
112,Montreal,70.9137709137709,61.14734460268867,6.784245834235013,86.00419174248768,27.752538749331908,0.0,45.5016889,-73.567256,Canada
113,Edmonton,71.14777114777114,77.19952083056036,24.659164682969053,92.28837588104739,27.097808658471408,0.0,53.5461245,-113.49382290000001,Canada
